20170706 14:40:00,293061,293564,293050,293267
20170706 14:45:00,293268,293700,293131,293136
20170706 14:50:00,293131,293334,292791,292930
20170706 14:55:00,292930,293020,292758,292789
20170706 15:00:00,292589,293019,292570,293040
20170706 15:05:00,293047,293406,292817,292911
20170706 15:10:00,292910,293330,292854,293007
20170706 15:15:00,293006,293150,292802,293329
20170706 15:20:00,293329,293454,293020,293021
20170706 15:25:00,293020,293600,293000,293291
20170706 15:30:00,293291,293970,293291,293960
20170706 15:35:00,293910,294000,293693,293894
20170706 15:40:00,294000,294210,293808,294039
20170706 15:45:00,294039,294090,293895,293895
20170706 15:50:00,293895,293980,293451,293455
20170706 15:55:00,293455,293880,293366,293615
20170706 16:00:00,293615,294000,293615,294000
20170706 16:05:00,294000,294120,293768,294038
20170706 16:10:00,294037,294179,293900,294149
20170706 16:15:00,294169,294190,293975,294130
20170706 16:20:00,293931,293940,293210,293269
20170706 16:25:00,293269,293540,293200,293340
20170706 16:30:00,293400,293530,293357,293364
20170706 16:35:00,293364,293400,293100,293100
20170706 16:40:00,293107,293250,293041,293099
20170706 16:45:00,293099,293169,293040,293040
20170706 16:50:00,293040,293200,292921,293200
20170706 16:55:00,293299,293430,293295,293429
20170706 17:00:00,293429,293500,293285,293470
20170706 17:05:00,293470,293500,293283,293284
20170706 17:10:00,293299,293408,292875,292906
20170706 17:15:00,292906,293100,292855,292961
20170706 17:20:00,292959,293279,292850,293117
20170706 17:25:00,293097,293150,292952,293099
20170706 17:30:00,293099,293347,293099,293271
20170706 17:35:00,293271,293665,293028,293665
20170706 17:40:00,293666,293779,293300,293778
20170706 17:45:00,293778,293860,293600,293610
20170706 17:50:00,293600,293750,293376,293700
20170706 17:55:00,293762,293970,293526,293800
20170706 18:00:00,293800,294100,293552,294058
20170706 18:05:00,294058,294200,293803,293822
20170706 18:10:00,293963,294060,293400,293400
20170706 18:15:00,293325,293460,292433,292585
20170706 18:20:00,292585,292970,291902,292366
20170706 18:25:00,292366,292366,291111,291337
20170706 18:30:00,291337,291770,290650,291760
20170706 18:35:00,291760,292770,291721,292317
20170706 18:40:00,292317,292638,291539,291630
20170706 18:45:00,291630,292000,291270,292000
20170706 18:50:00,291998,292500,291998,292500
20170706 18:55:00,292500,292670,292500,292600
20170706 19:00:00,292600,292600,291690,291850
20170706 19:05:00,291850,292072,291650,292124
20170706 19:10:00,292087,292199,291789,292160
20170706 19:15:00,292159,293000,292078,293000
20170706 19:20:00,292920,293100,292420,292430
20170706 19:25:00,292720,292849,292441,292721
20170706 19:30:00,292732,292732,292597,292572
20170706 19:35:00,292827,292909,292402,292630
20170706 19:40:00,292601,292861,292220,292205
20170706 19:45:00,292287,292580,292116,292360
20170706 19:50:00,292342,292670,292041,292298
20170706 19:55:00,292400,292400,292100,292306
20170706 20:00:00,292306,292500,292000,292479
20170706 20:05:00,292001,292460,291950,292460
20170706 20:10:00,292460,292500,292060,292499
20170706 20:15:00,292499,292523,291864,292099
20170706 20:20:00,292099,292191,291692,292099
20170706 20:25:00,292100,292277,291956,292277
20170706 20:30:00,292277,292399,292260,292399
20170706 20:35:00,292399,292800,292251,292661
20170706 20:40:00,292716,292800,292651,292622
20170706 20:45:00,292622,292671,292440,292531
20170706 20:50:00,292531,292900,292530,292711
20170706 20:55:00,292621,292921,292599,292600
20170706 21:00:00,292600,292860,292510,292600
20170706 21:05:00,292600,292760,292400,292501
20170706 21:10:00,292501,292885,292336,292829
20170706 21:15:00,292830,293160,292830,293000
20170706 21:20:00,293000,293220,292750,293312
20170706 21:25:00,293320,293566,293081,293081
20170706 21:30:00,293081,293580,293078,293580
20170706 21:35:00,293580,293649,293256,293443
20170706 21:40:00,293500,293560,293257,293257
20170706 21:45:00,293252,293300,292920,293032
20170706 21:50:00,293220,293600,293100,293500
20170706 21:55:00,293500,293662,293061,293251
20170706 22:00:00,293251,293305,293060,293196
20170706 22:05:00,293060,293419,293060,293419
20170706 22:10:00,293300,293740,293300,293402
20170706 22:15:00,293402,293760,293300,293250
20170706 22:20:00,293250,293423,293104,293200
20170706 22:25:00,293200,293200,292481,292481
20170706 22:30:00,292481,292770,292480,292725
20170706 22:35:00,292725,292885,292340,292546
20170706 22:40:00,292500,292599,292160,292161
20170706 22:45:00,292200,292589,292120,292730
20170706 22:50:00,292670,292800,292250,292885
20170706 22:55:00,292900,292980,292618,292700
20170706 23:00:00,292700,292700,292400,292760
20170706 23:05:00,292800,292990,292710,292990
20170706 23:10:00,293000,293010,292670,292780
20170706 23:15:00,292560,292900,292560,292648
20170706 23:20:00,292648,292930,292609,292609
20170706 23:25:00,292609,292740,292330,292738
20170706 23:30:00,292738,292739,292326,292326
20170706 23:35:00,292326,292558,292000,292300
20170706 23:40:00,292125,292480,292100,292075
20170706 23:45:00,292075,292325,291850,292078
20170706 23:50:00,292078,292400,291850,292300
20170706 23:55:00,292300,292490,292170,292240
20170707 00:00:00,292240,292566,292170,292438
20170707 00:05:00,292078,292250,292077,292201
20170707 00:10:00,292200,292399,292000,292400
20170707 00:15:00,292438,292500,292357,292430
20170707 00:20:00,292500,292520,292157,292187
20170707 00:25:00,292157,292421,292130,292495
20170707 00:30:00,292520,292649,292160,292700
20170707 00:35:00,292820,292985,292393,292985
20170707 00:40:00,293000,293130,292764,292769
20170707 00:45:00,292784,292880,292590,292858
20170707 00:50:00,292858,293130,292770,293032
20170707 00:55:00,293031,293190,292781,292930
20170707 01:00:00,292857,292935,292499,292859
20170707 01:05:00,292859,292860,292210,292400
20170707 01:10:00,292400,292591,292160,292661
20170707 01:15:00,292856,293001,292851,293091
20170707 01:20:00,293091,293120,292865,292865
20170707 01:25:00,292866,293120,292855,293150
20170707 01:30:00,293193,293202,293000,292990
20170707 01:35:00,292996,293193,292865,292929
20170707 01:40:00,292928,293138,292909,292910
20170707 01:45:00,292910,293109,292815,292960
20170707 01:50:00,292965,293300,292746,293300
20170707 01:55:00,293310,293359,292848,293050
20170707 02:00:00,293051,293052,292610,293100
